,title,rating,link
199,Million Dollar Baby,8.1,https://www.imdb.com/title/tt0405159/
200,Before Sunrise,8.1,https://www.imdb.com/title/tt0112471/
201,Hotel Rwanda,8.1,https://www.imdb.com/title/tt0395169/
202,Prisoners,8.1,https://www.imdb.com/title/tt1392214/
203,Mad Max: Fury Road,8.1,https://www.imdb.com/title/tt1392190/
204,Logan,8.1,https://www.imdb.com/title/tt3315342/
205,Eskiya,8.1,https://www.imdb.com/title/tt0116231/
206,Hachi: A Dog's Tale,8.1,https://www.imdb.com/title/tt1028532/
207,Rush,8.1,https://www.imdb.com/title/tt1979320/
208,Le salaire de la peur,8.1,https://www.imdb.com/title/tt0046268/
209,Catch Me If You Can,8.1,https://www.imdb.com/title/tt0264464/
210,Les quatre cents coups,8.1,https://www.imdb.com/title/tt0053198/
211,Spotlight,8.1,https://www.imdb.com/title/tt1895587/
212,Amores perros,8.1,https://www.imdb.com/title/tt0245712/
213,Andrei Rublev,8.1,https://www.imdb.com/title/tt0060107/
214,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,https://www.imdb.com/title/tt0169858/
215,Harry Potter and the Deathly Hallows: Part 2,8.1,https://www.imdb.com/title/tt1201607/
216,Kaze no tani no Naushika,8.0,https://www.imdb.com/title/tt0087544/
217,La passion de Jeanne d'Arc,8.0,https://www.imdb.com/title/tt0019254/
218,The Princess Bride,8.0,https://www.imdb.com/title/tt0093779/
219,Barry Lyndon,8.0,https://www.imdb.com/title/tt0072684/
220,Rocky,8.0,https://www.imdb.com/title/tt0075148/
221,Butch Cassidy and the Sundance Kid,8.0,https://www.imdb.com/title/tt0064115/
222,Rang De Basanti,8.0,https://www.imdb.com/title/tt0405508/
223,"Monsters, Inc.",8.0,https://www.imdb.com/title/tt0198781/
224,Dead Poets Society,8.0,https://www.imdb.com/title/tt0097165/
225,The Grapes of Wrath,8.0,https://www.imdb.com/title/tt0032551/
226,The Terminator,8.0,https://www.imdb.com/title/tt0088247/
227,The Maltese Falcon,8.0,https://www.imdb.com/title/tt0033870/
228,Ah-ga-ssi,8.0,https://www.imdb.com/title/tt4016934/
229,La haine,8.0,https://www.imdb.com/title/tt0113247/
230,Gandhi,8.0,https://www.imdb.com/title/tt0083987/
231,Faa yeung nin wa,8.0,https://www.imdb.com/title/tt0118694/
232,Donnie Darko,8.0,https://www.imdb.com/title/tt0246578/
233,Groundhog Day,8.0,https://www.imdb.com/title/tt0107048/
234,The Help,8.0,https://www.imdb.com/title/tt1454029/
235,Les diaboliques,8.0,https://www.imdb.com/title/tt0046911/
236,The Wizard of Oz,8.0,https://www.imdb.com/title/tt0032138/
237,Guardians of the Galaxy,8.0,https://www.imdb.com/title/tt2015381/
238,Jaws,8.0,https://www.imdb.com/title/tt0073195/
239,Before Sunset,8.0,https://www.imdb.com/title/tt0381681/
240,Da hong deng long gao gao gua,8.0,https://www.imdb.com/title/tt0101640/
241,Tenkû no shiro Rapyuta,8.0,https://www.imdb.com/title/tt0092067/
242,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,https://www.imdb.com/title/tt0325980/
243,"Paris, Texas",8.0,https://www.imdb.com/title/tt0087884/
244,Beauty and the Beast,8.0,https://www.imdb.com/title/tt0101414/
245,Akira,8.0,https://www.imdb.com/title/tt0094625/
246,The Exorcist,8.0,https://www.imdb.com/title/tt0070047/
247,Dog Day Afternoon,8.0,https://www.imdb.com/title/tt0072890/
248,8½,8.0,https://www.imdb.com/title/tt0056801/
249,La leggenda del pianista sull'oceano,8.0,https://www.imdb.com/title/tt0120731/
