,title,rating,link
206,The Island of Dr. Moreau,4.5,https://www.imdb.com/title/tt0116654/
207,Freddy Got Fingered,4.5,https://www.imdb.com/title/tt0240515/
208,Baise-moi,4.5,https://www.imdb.com/title/tt0249380/
209,Taxi,4.5,https://www.imdb.com/title/tt0316732/
210,Agent Cody Banks 2: Destination London,4.5,https://www.imdb.com/title/tt0358349/
211,Soul Plane,4.5,https://www.imdb.com/title/tt0367085/
212,Superhero Movie,4.5,https://www.imdb.com/title/tt0426592/
213,The Butterfly Effect 2,4.5,https://www.imdb.com/title/tt0457297/
214,Postal,4.5,https://www.imdb.com/title/tt0486640/
215,Rings,4.5,https://www.imdb.com/title/tt0498381/
216,Ouija,4.5,https://www.imdb.com/title/tt1204977/
217,Bitch Slap,4.5,https://www.imdb.com/title/tt1212974/
218,Alvin and the Chipmunks: The Squeakquel,4.5,https://www.imdb.com/title/tt1231580/
219,Death Note,4.5,https://www.imdb.com/title/tt1241317/
220,Snatched,4.5,https://www.imdb.com/title/tt2334871/
221,Fifty Shades Freed,4.5,https://www.imdb.com/title/tt4477536/
222,Howard the Duck,4.6,https://www.imdb.com/title/tt0091225/
223,Friday the 13th Part VIII: Jason Takes Manhattan,4.6,https://www.imdb.com/title/tt0097388/
224,Look Who's Talking Too,4.6,https://www.imdb.com/title/tt0100050/
225,Junior,4.6,https://www.imdb.com/title/tt0110216/
226,I Still Know What You Did Last Summer,4.6,https://www.imdb.com/title/tt0130018/
227,Driven,4.6,https://www.imdb.com/title/tt0132245/
228,Psycho,4.6,https://www.imdb.com/title/tt0155975/
229,Confessions of a Teenage Drama Queen,4.6,https://www.imdb.com/title/tt0361467/
230,Anacondas: The Hunt for the Blood Orchid,4.6,https://www.imdb.com/title/tt0366174/
231,Black Christmas,4.6,https://www.imdb.com/title/tt0454082/
232,Yogi Bear,4.6,https://www.imdb.com/title/tt1302067/
233,Paranormal Activity 4,4.6,https://www.imdb.com/title/tt2109184/
234,Paranormal Activity: The Ghost Dimension,4.6,https://www.imdb.com/title/tt2473510/
235,Fifty Shades Darker,4.6,https://www.imdb.com/title/tt4465564/
